Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
mundane_e0512f89		The sun is mild and the air is crisp, July's humidity a distant memory.	game/script files/11_mundane.rpy	2	"[what]"
mundane_a1779d86		A woman steps out of the dry cleaner's with freshly-cleaned coats in plastic bags. A young couple with a bundled-up toddler walk to their car. As I walk, I'm transported by the smell of fresh bread from a bakery.	game/script files/11_mundane.rpy	4	"[what]"
bookstore_d6b0610b		It's been a slow summer. Slower than usual. The buzzing of cicadas and unyielding humidity drown our little town in syrupy hot summer.	game/script files/1_bookstore.rpy	16	"[what]"
bookstore_009f5de8		The familiar sound seems to say, "You have all the time in the world." A clock hanging by the cluttered storefront counter slowly {i}tic tic tics{/i} in agreement.	game/script files/1_bookstore.rpy	18	"[what]"
bookstore_7222769d		You adjust the angle of your desk fan to get a better breeze. It helps, but sweat still sticks your crisp white dress shirt to your skin.	game/script files/1_bookstore.rpy	21	"[what]"
bookstore_e789d3ea		Business has been far too slow.	game/script files/1_bookstore.rpy	23	"[what]"
bookstore_e3e0b251		You need to do something about it this summer, but there's no rush.	game/script files/1_bookstore.rpy	25	"[what]"
bookstore_069e64a8		It's a family business. It's been here for ages and will surely carry on well beyond your tenure.	game/script files/1_bookstore.rpy	27	"[what]"
bookstore_5885d55c		Your soft foxen ear twitches at the sound of bells jingling as the shop door swings open. You make a couple more adjustments as you call in the direction of the door.	game/script files/1_bookstore.rpy	31	"[what]"
bookstore_1a95aa96	a	"Welcome in, feel free to browse."	game/script files/1_bookstore.rpy	34	a neutral "[what]"
bookstore_8889ca02		There's an excited giggle. You look up and your breath catches.	game/script files/1_bookstore.rpy	37	"[what]"
bookstore_409bc37b		An adorable college girl you've never seen before. Her dark hair is pulled up into a bun and tied with a blue scarf. Olive-brown eyes sparkle warmly at you. Possibilities hang heavy in the air.	game/script files/1_bookstore.rpy	42	"[what]"
bookstore_55d6c2b6		Then she's falling for you.	game/script files/1_bookstore.rpy	46	"[what]"
bookstore_847fc95a		Literally.	game/script files/1_bookstore.rpy	48	"[what]"
bookstore_a4820264		Her lips part in an "oh" of surprise as she trips over the box of peaches that your neighbor so kindly left just inside the door.	game/script files/1_bookstore.rpy	50	"[what]"
bookstore_06b1fc9d		You must have been in the back, because you don't remember them stopping by.	game/script files/1_bookstore.rpy	52	"[what]"
bookstore_7afe002d		The fall is epic.	game/script files/1_bookstore.rpy	56	"[what]"
bookstore_687abe61		Her tote bag soars, colored gel pens tumbling out to rain down in a myriad rainbow that bounces on the hardwood floor.	game/script files/1_bookstore.rpy	58	"[what]"
bookstore_49f8c8e8		Loose pages slide from the bag and take flight, scattering across the hardwood floor.	game/script files/1_bookstore.rpy	60	"[what]"
bookstore_6416a647		The young woman's body slams into the book rack between you and she pivots, angling the shelf away from the front counter.	game/script files/1_bookstore.rpy	62	"[what]"
bookstore_c0c51f46		Away from {i}you{/i}.	game/script files/1_bookstore.rpy	64	"[what]"
bookstore_bed518da		She tumbles to the ground in a heap as the rack crashes into a nearby bookshelf. It knocks off the blue heirloom lamp that until this moment had minded its business for as long as you can remember.	game/script files/1_bookstore.rpy	66	"[what]"
bookstore_40e7eb7f		(Oh no...)	game/script files/1_bookstore.rpy	69	"[what]"
bookstore_83ad6ca8		A glance tells you the girl survived the fall. The lamp, on the other hand, did not.	game/script files/1_bookstore.rpy	71	"[what]"
bookstore_3af3a8ad		The mosaic glass panels shattered, reducing what once was a work of art into a pile of shards.	game/script files/1_bookstore.rpy	73	"[what]"
bookstore_Girl_ce652532		You rush over, taking hold of her arm and helping her upright.	game/script files/1_bookstore.rpy	101	"[what]"
bookstore_Girl_bec237e6	a	"Are you okay?!"	game/script files/1_bookstore.rpy	103	a shocked "[what]"
bookstore_Girl_4a5238ed		She groans as she sits up in a pile of books, clutching at her left shin. She lightly smacks a palm against her forehead when she sees the destruction her fumble wrought upon the store.	game/script files/1_bookstore.rpy	105	"[what]"
bookstore_Girl_cdadbcf5		The fallen shelves. The shattered lamp. The alarmed and bewildered expression on your face.	game/script files/1_bookstore.rpy	107	"[what]"
bookstore_Girl_2f098a2f	e	"I'm so sorry!!! I didn't see the box, I hope nothing..."	game/script files/1_bookstore.rpy	109	e gloom "[what]"
bookstore_Girl_79b26362		Her gaze slides to the broken lamp and she gulps.	game/script files/1_bookstore.rpy	113	"[what]"
bookstore_Girl_3c69daa7	e	"...well, I hope nothing else got too damaged. I'm really sorry. Let me help clean up!"	game/script files/1_bookstore.rpy	115	e sad "[what]"
bookstore_Girl_3f3af3d2	a	"Don't worry about that right now, are you injured?"	game/script files/1_bookstore.rpy	117	a neutral "[what]"
bookstore_Girl_65269fe0		She shakes her head and lets you help her up. Up close, she's even cuter than you realized. Your heart flutters.	game/script files/1_bookstore.rpy	119	"[what]"
bookstore_Girl_86899a4a	e	"No, but... what about the lamp?"	game/script files/1_bookstore.rpy	121	e sad "[what]"
bookstore_Lamp_4455468b		Surveying the shattered lamp yields nothing I didn't already suspect. The glass lampshade was a mosaic of shades of blue stained glass pieces welded together at the seams.	game/script files/1_bookstore.rpy	131	"[what]"
bookstore_Lamp_61d562aa		Four panels had joined at their long edges to create a lampshade reminiscent of a boxy, blue, crystalline moth.	game/script files/1_bookstore.rpy	133	"[what]"
bookstore_Lamp_1cc44244		Now, the intricate panels are shattered, the floor a dazzling array of blue edges. The electrical fixture, too, is bent at an odd angle.	game/script files/1_bookstore.rpy	135	"[what]"
bookstore_Lamp_899ecfd9		The lamp murderer groans as she sits up in a pile of books, clutching at her left shin. She puts a hand to her brow and makes another small noise of dismay as she sees the destruction her fumble wrought upon the store.	game/script files/1_bookstore.rpy	140	"[what]"
bookstore_Lamp_ce0b9e8a		The fallen shelves. The shattered lamp. My concern.	game/script files/1_bookstore.rpy	142	"[what]"
bookstore_Lamp_a304e4d3		I almost expect her to run away. She's young, maybe a college student? And she's human! I open my mouth to say something, to tell her off or ask if she's okay, but...	game/script files/1_bookstore.rpy	144	"[what]"
bookstore_Lamp_416761e4		I can't find the words as I watch her stand up, dust herself off, and limp over to inspect the shattered lamp.	game/script files/1_bookstore.rpy	146	"[what]"
bookstore_Lamp_635c608e	e	"Oh shit, I'm so sorry about that. I didn't see the box... Here, I'll clean this up."	game/script files/1_bookstore.rpy	150	e shocked "[what]"
bookstore_Lamp_7c6244f7		She reaches down to pick up a large piece of glass.	game/script files/1_bookstore.rpy	152	"[what]"
lamp_grab_31897da1		My hand darts out and grabs hold of the girl's wrist.	game/script files/1_bookstore.rpy	178	"[what]"
lamp_grab_2d0f52b4	a	"Don't! Don't, you could hurt yourself."	game/script files/1_bookstore.rpy	180	a shocked "[what]"
